id,"libelle","created_at","updated_at","deleted_at"
1,"nouvelle cat","2022-11-22 10:50:57","2022-11-22 10:50:57",NULL
2,"cat-user-2 update","2022-11-22 11:00:29","2022-11-22 14:12:12","2022-11-22 14:12:12"
3,"cat-user-2","2022-11-22 11:05:10","2022-11-22 11:05:10",NULL
4,"cat-user-to-delete","2022-11-22 11:10:35","2022-11-22 11:14:36","2022-11-22 11:14:36"
5,"etat-demande-1","2022-11-22 13:53:52","2022-11-22 13:54:18","2022-11-22 13:54:18"
6,"cat-user-1","2022-11-22 14:02:45","2022-11-22 14:02:45",NULL
8,"etape-traitement 2","2022-11-22 14:22:17","2022-11-22 14:22:53","2022-11-22 14:22:53"
9,"etape-traitement 1","2022-11-22 14:22:19","2022-11-22 14:22:51","2022-11-22 14:22:51"
12,"cat-user-test","2022-11-24 10:17:34","2022-11-24 10:17:34",NULL
14,"cat-user-test2","2022-11-28 11:05:38","2022-11-28 11:05:48","2022-11-28 11:05:48"
