"id","libelle","tarif","created_at","updated_at","deleted_at","pays_id"
1,"Créer une SARL",30000,"2022-11-22 11:29:00","2023-02-28 09:53:42",NULL,1
18,"Créer une ONG",30000,"2023-01-04 13:30:20","2023-02-28 09:54:35",NULL,1
17,"Créer une SASU",30000,"2023-01-04 13:30:14","2023-02-28 09:54:35",NULL,1
14,"Dépot de Marque",30000,"2023-01-10 09:43:53","2023-02-28 09:54:35",NULL,1
13,"Domiciliation",30000,"2023-01-10 09:43:47","2023-02-28 09:54:35",NULL,1
12,"Créer une SA",30000,"2023-01-04 13:30:25","2023-02-28 09:54:35",NULL,1
11,"Créer une ONG",30000,"2023-01-04 13:30:20","2023-03-06 16:38:32","2023-03-02 10:40:19",1
10,"Créer une SASU",30000,"2023-01-04 13:30:14","2023-03-02 10:40:19","2023-03-02 10:40:19",1
9,"Créer une SARLU",30000,"2023-01-04 13:30:05","2023-02-28 09:54:35",NULL,1
3,"type-demande to delete",2000,"2022-11-22 11:29:10","2023-02-28 09:54:35","2022-11-22 11:34:35",1
2,"Créer une SAS",30000,"2022-11-22 11:29:05","2023-02-28 09:54:35",NULL,1
28,"Dépot de marque",0,"2023-03-02 09:53:19","2023-03-02 09:53:19",NULL,2
21,"Créer une SASU",0,"2023-03-02 09:49:59","2023-03-02 09:49:59",NULL,2
20,"Créer une SAS",0,"2023-03-02 09:49:56","2023-03-02 09:49:56",NULL,2
19,"Créer une SUARL",0,"2023-03-02 09:48:54","2023-04-04 12:05:47",NULL,2
16,"Créer une SARL",30000,"2023-02-28 10:05:32","2023-02-28 10:05:32",NULL,2
27,"Domiciliation",0,"2023-03-02 09:53:14","2023-03-02 09:53:14",NULL,2
44,"Domiciliation",0,"2023-03-02 09:53:14","2023-03-02 09:53:14",NULL,3
40,"Créer une SARLU",0,"2023-03-02 09:48:54","2023-03-02 09:49:35",NULL,3
39,"Créer une SARL",30000,"2023-02-28 10:05:32","2023-02-28 10:05:32",NULL,3
45,"Dépot de marque",0,"2023-03-02 09:53:19","2023-03-02 09:53:19",NULL,3
25,"Créer une SASU",0,"2023-03-02 09:51:02","2023-03-02 09:51:02",NULL,4
22,"Créer une SARL",0,"2023-03-02 09:50:56","2023-03-02 09:50:56",NULL,4
24,"Créer une SAS",0,"2023-03-02 09:51:00","2023-03-02 09:51:00",NULL,4
23,"Créer une SARLU",0,"2023-03-02 09:50:58","2023-03-02 09:50:58",NULL,4
31,"Dépot de marque",0,"2023-03-02 09:54:15","2023-03-02 09:54:15",NULL,4
30,"Domiciliation",0,"2023-03-02 09:54:10","2023-03-02 09:54:10",NULL,4
33,"Créer une SARLU",0,"2023-03-02 09:54:55","2023-03-02 09:54:55",NULL,6
32,"Créer une SARL",0,"2023-03-02 09:54:53","2023-03-02 09:54:53",NULL,6
35,"Créer une SASU",0,"2023-03-02 09:54:59","2023-03-02 09:54:59",NULL,6
37,"Domiciliation",0,"2023-03-02 09:55:23","2023-03-02 09:55:23",NULL,6
34,"Créer une SAS",0,"2023-03-02 09:54:58","2023-03-02 09:54:58",NULL,6
